year,age,qx,lx,dx,Lx,Tx,ex,sex
1910,0,0.09826,100000,9826,93083,6370909,63.71,F
1910,1,0.02159,90174,1947,89201,6277826,69.62,F
1910,2,0.00987,88227,870,87792,6188626,70.14,F
1910,3,0.00782,87357,683,87015,6100834,69.84,F
1910,4,0.00536,86673,465,86441,6013819,69.38,F
1910,5,0.00372,86208,320,86048,5927378,68.76,F
1910,6,0.00311,85888,267,85754,5841329,68.01,F
1910,7,0.00243,85621,208,85517,5755575,67.22,F
1910,8,0.00332,85413,283,85272,5670058,66.38,F
1910,9,0.00205,85130,175,85043,5584786,65.6,F
1910,10,0.00184,84955,157,84877,5499744,64.74,F
1910,11,0.00178,84799,151,84723,5414867,63.86,F
1910,12,0.00164,84648,139,84578,5330144,62.97,F
1910,13,0.00186,84509,157,84430,5245565,62.07,F
1910,14,0.00203,84352,171,84266,5161135,61.19,F
1910,15,0.00238,84181,201,84080,5076869,60.31,F
1910,16,0.00267,83980,224,83868,4992788,59.45,F
1910,17,0.00283,83756,237,83637,4908920,58.61,F
1910,18,0.0033,83519,275,83381,4825283,57.78,F
1910,19,0.00346,83243,288,83099,4741902,56.96,F
1910,20,0.00341,82955,283,82814,4658803,56.16,F
1910,21,0.00351,82672,290,82527,4575990,55.35,F
1910,22,0.00335,82382,276,82244,4493462,54.54,F
1910,23,0.00326,82106,267,81973,4411218,53.73,F
1910,24,0.00331,81839,271,81704,4329245,52.9,F
1910,25,0.00336,81568,274,81431,4247542,52.07,F
1910,26,0.00357,81294,290,81149,4166111,51.25,F
1910,27,0.00333,81004,269,80869,4084961,50.43,F
1910,28,0.00298,80735,240,80615,4004092,49.6,F
1910,29,0.00285,80494,229,80380,3923477,48.74,F
1910,30,0.00277,80265,222,80154,3843097,47.88,F
1910,31,0.00273,80043,219,79934,3762943,47.01,F
1910,32,0.00264,79824,211,79719,3683010,46.14,F
1910,33,0.0028,79613,223,79502,3603291,45.26,F
1910,34,0.00282,79390,224,79278,3523789,44.39,F
1910,35,0.00288,79166,228,79052,3444511,43.51,F
1910,36,0.0028,78939,221,78828,3365459,42.63,F
1910,37,0.00279,78718,220,78608,3286630,41.75,F
1910,38,0.00284,78498,223,78386,3208023,40.87,F
1910,39,0.00283,78275,222,78164,3129636,39.98,F
1910,40,0.00297,78053,232,77937,3051472,39.09,F
1910,41,0.00318,77821,248,77697,2973535,38.21,F
1910,42,0.00332,77573,257,77444,2895838,37.33,F
1910,43,0.00346,77316,268,77182,2818394,36.45,F
1910,44,0.00351,77048,270,76913,2741212,35.58,F
1910,45,0.00365,76778,280,76638,2664299,34.7,F
1910,46,0.00399,76497,305,76345,2587661,33.83,F
1910,47,0.00436,76192,332,76026,2511316,32.96,F
1910,48,0.00466,75860,354,75683,2435290,32.1,F
1910,49,0.00494,75506,373,75320,2359607,31.25,F
1910,50,0.00543,75134,408,74929,2284287,30.4,F
1910,51,0.00588,74725,439,74506,2209357,29.57,F
1910,52,0.00638,74286,474,74049,2134852,28.74,F
1910,53,0.00685,73812,505,73560,2060803,27.92,F
1910,54,0.00722,73307,529,73042,1987243,27.11,F
1910,55,0.00751,72778,547,72505,1914201,26.3,F
1910,56,0.00808,72231,583,71940,1841696,25.5,F
1910,57,0.00876,71648,628,71334,1769756,24.7,F
1910,58,0.00982,71020,697,70672,1698422,23.91,F
1910,59,0.01041,70323,732,69957,1627751,23.15,F
1910,60,0.01123,69591,782,69200,1557794,22.39,F
1910,61,0.01197,68809,824,68397,1488594,21.63,F
1910,62,0.01272,67985,865,67553,1420197,20.89,F
1910,63,0.0135,67120,906,66667,1352644,20.15,F
1910,64,0.01414,66214,936,65746,1285977,19.42,F
1910,65,0.01465,65278,956,64800,1220231,18.69,F
1910,66,0.01575,64322,1013,63815,1155431,17.96,F
1910,67,0.01694,63309,1073,62773,1091615,17.24,F
1910,68,0.01831,62236,1140,61666,1028843,16.53,F
1910,69,0.01951,61097,1192,60501,967176,15.83,F
1910,70,0.02194,59905,1314,59248,906676,15.14,F
1910,71,0.02346,58591,1374,57903,847428,14.46,F
1910,72,0.02529,57216,1447,56493,789525,13.8,F
1910,73,0.02808,55769,1566,54986,733032,13.14,F
1910,74,0.03057,54203,1657,53375,678046,12.51,F
1910,75,0.03347,52546,1759,51667,624671,11.89,F
1910,76,0.03654,50788,1856,49860,573005,11.28,F
1910,77,0.03991,48932,1953,47955,523145,10.69,F
1910,78,0.04363,46979,2050,45954,475189,10.11,F
1910,79,0.04707,44929,2115,43872,429235,9.55,F
1910,80,0.05072,42815,2172,41729,385363,9,F
1910,81,0.05507,40643,2238,39524,343635,8.45,F
1910,82,0.0604,38405,2320,37245,304111,7.92,F
1910,83,0.06893,36085,2487,34841,266866,7.4,F
1910,84,0.07585,33598,2548,32324,232025,6.91,F
1910,85,0.08466,31049,2629,29735,199701,6.43,F
1910,86,0.09392,28421,2669,27086,169966,5.98,F
1910,87,0.10383,25752,2674,24415,142880,5.55,F
1910,88,0.11634,23078,2685,21735,118465,5.13,F
1910,89,0.13286,20393,2709,19038,96730,4.74,F
1910,90,0.14762,17684,2610,16378,77691,4.39,F
1910,91,0.16227,15073,2446,13850,61313,4.07,F
1910,92,0.18119,12627,2288,11483,47463,3.76,F
1910,93,0.20041,10339,2072,9303,35979,3.48,F
1910,94,0.22104,8267,1827,7354,26676,3.23,F
1910,95,0.24247,6440,1561,5659,19323,3,F
1910,96,0.26366,4878,1286,4235,13663,2.8,F
1910,97,0.2842,3592,1021,3082,9428,2.62,F
1910,98,0.30367,2571,781,2181,6346,2.47,F
1910,99,0.32165,1790,576,1503,4166,2.33,F
1910,100,0.34031,1215,413,1008,2663,2.19,F
1910,101,0.35969,801,288,657,1655,2.07,F
1910,102,0.37992,513,195,416,998,1.95,F
1910,103,0.40106,318,128,254,582,1.83,F
1910,104,0.42317,191,81,150,328,1.72,F
1910,105,0.44633,110,49,85,178,1.62,F
1910,106,0.47062,61,29,47,92,1.52,F
1910,107,0.49612,32,16,24,46,1.42,F
1910,108,0.5229,16,8,12,22,1.33,F
1910,109,0.55105,8,4,6,10,1.25,F
1910,110,0.58064,3,2,2,4,1.17,F
1910,111,0.61177,1,1,1,2,1.09,F
